Recipe,Ingredients,Calories,Proteins,Fat
Pasta Carbonara,"Pasta, Eggs, Parmesan, Bacon",300,12,15
Grilled Chicken Salad,"Chicken, Lettuce, Tomato, Cucumber",250,20,5
Avocado Toast,"Avocado, Bread, Olive Oil, Salt",200,3,10
Omelette,"Eggs, Cheese, Spinach, Onion",180,15,12
Chicken Stir-Fry,"Chicken breast, Bell peppers, Broccoli, Soy sauce, Garlic, Ginger",350,30,10
Beef Tacos,"Ground beef, Taco shells, Lettuce, Tomato, Cheese, Salsa",400,20,22
Vegetable Curry,"Potatoes, Carrots, Peas, Coconut milk, Curry powder, Onions, Garlic",300,5,15
Shrimp Scampi,"Shrimp, Garlic, Butter, Lemon juice, Parsley, Spaghetti",450,25,18
Quinoa Salad,"Quinoa, Cherry tomatoes, Cucumber, Feta cheese, Olive oil, Lemon juice",320,8,14
Beef Stew,"Beef chunks, Potatoes, Carrots, Onions, Beef broth, Thyme",500,35,20
Lentil Soup,"Lentils, Carrots, Celery, Onions, Garlic, Vegetable broth, Bay leaves",250,12,5
Fish Tacos,"White fish fillets, Corn tortillas, Cabbage slaw, Lime, Cilantro, Avocado",380,22,16
Chicken Alfredo,"Fettuccine, Chicken breast, Heavy cream, Parmesan cheese, Garlic, Butter",600,32,35
Stuffed Peppers,"Bell peppers, Ground turkey, Rice, Tomato sauce, Onions, Garlic",350,25,10
Miso-Garlic Pork Chops,"Pork chops, Miso paste, Garlic, Olive oil, Green onions",450,30,25
Ginger Egg Salad,"Eggs, Greek yogurt, Dijon mustard, Green onions, Fresh ginger",200,15,10
Pesto Baked Chicken,"Chicken breasts, Pesto sauce, Mozzarella cheese, Cherry tomatoes, Olive oil",400,35,20
Asparagus Quinoa Salad,"Quinoa, Asparagus, Red bell pepper, Feta cheese, Lemon juice",350,12,15
Beef and Mushroom Marinara,"Ground beef, Mushrooms, Marinara sauce, Spaghetti squash, Parmesan cheese",500,28,22
